x,y
101.20822934636963,172.06819134839174
101.52006299743043,167.60363040639243
110.99374249558932,178.12784264203117
100.80245111740024,169.39200601556138
108.48234207740579,179.90482919775894
117.80542608954653,166.65354565001417
110.83780035631719,185.93189857309568
121.29492107428325,173.76948505594368
121.97136877143035,183.45616633677156
132.69464844378135,185.2586251650588
128.0050595320815,179.93306457727988
138.46554017433894,188.16339598244429
149.3422120355307,188.62497311175503
150.18042396608422,198.5602502907505
157.12132481102066,189.12449121209625
155.05912876014764,196.35280188467203
160.53013749473826,189.38559873586536
168.10389716384338,200.24321429510627
161.99823427350108,199.4310250682512
170.53026326173813,195.69305902808827
169.46169843672428,209.9322427129851
172.3018955559915,202.96236919098584
189.72943275068107,202.08493804014108
200.28319187771217,196.99736419846897
186.49020295778456,200.0536669139231
204.3689194914179,197.87738195928495
216.3884251941497,201.7743173197493
208.30941254503512,209.2655567547278
228.9037334366109,216.8584933232769
227.68560168523757,201.71507862788286
232.7988758906539,203.53395372838014
251.89592692744688,217.3703660224657
255.10788766082925,207.4043050263847
258.6778622698409,217.04667309901015
265.64133771602843,213.00345599670504
271.4431448314469,232.17834640003514
286.1576535940605,224.59218558380672
297.2866969055464,226.14128801091482
290.7748197366736,241.4518111153859
296.9943051277596,235.09872579375963
305.79592521611903,244.8660363031211
311.4014360620684,242.08987127040416
314.3219954167502,250.76814854449117
332.4254527033982,250.12523619350722
317.2537392747585,250.15871652181227
335.23281657172157,242.0791994647123
334.1180926532846,248.7328722161438
348.3859314963271,253.5756310007858
346.27047733757036,252.108768156376
345.78701419340035,263.2910693324312
353.4825378346848,265.54426705605573
373.36068018873215,249.78097012689318
368.84892888698755,266.53671469288724
376.9550968063075,255.81045672782102
393.7561110153792,276.9958932984938
387.00576275838296,263.36876365957636
397.1282469012549,273.76507430293054
407.1050887543782,270.3466409223239
420.380525035548,279.04222809381577
425.43777788934483,272.02588324452034
411.9354393373715,291.58321452168093
440.61060987344916,294.72493471424974
446.534348420745,286.0277299803923
456.30661495692397,296.6224494120339
448.97338195966984,304.1271734900065
462.4305354324908,309.01302548841124
474.2767655315162,300.7906713374365
488.2558135873618,309.1591989740383
480.2830198585334,314.01393226598
495.0808954374741,317.5914524970027
508.38948411446,306.179251589406
508.8234405663888,329.908049815685
527.417397954122,328.4716830057453
532.2485047821076,325.32934771701946
518.9515407511475,321.5878029831463
525.997571166393,323.32084119990907
539.6708347176482,335.99747083952985
549.0293360197187,341.8687699003874
540.9821177974184,344.6536627280708
547.731832926244,342.3245394770994
550.9595789438386,348.9812724396413
